Type,Abbreviation,Variable,Weight,NextLevel,IssueCategory,PolicyObjective,EPI Percent
Indicator,CDA,Adjusted emissions growth rate for carbon dioxide,0.25,CCH,Climate Change Mitigation,Climate Change ,7.50%
Indicator,CDF,Adjusted emissions growth rate for carbon dioxide (country-specific targets),0.01666667,CCH,Climate Change Mitigation,Climate Change ,0.50%
Indicator,CHA,Adjusted emissions growth rate for methane,0.1,CCH,Climate Change Mitigation,Climate Change ,3.00%
Indicator,FGA,Adjusted emissions growth rate for F-gases,0.06666667,CCH,Climate Change Mitigation,Climate Change ,2.00%
Indicator,NDA,Adjusted emissions growth rate for nitrous oxide,0.03333333,CCH,Climate Change Mitigation,Climate Change ,1.00%
Indicator,BCA,Adjusted emissions growth rate for black carbon,0.05,CCH,Climate Change Mitigation,Climate Change ,1.50%
Indicator,LUF,Net carbon fluxes due to land cover change,0.03333333,CCH,Climate Change Mitigation,Climate Change ,1.00%
Indicator,GTI,GHG growth rate adjusted by emissions intensity,0.2,CCH,Climate Change Mitigation,Climate Change ,6.00%
Indicator,GTP,GHG growth rate adjusted by per capita emissions,0.2,CCH,Climate Change Mitigation,Climate Change ,6.00%
Indicator,GHN,Projected emissions in 2050,0.03333333,CCH,Climate Change Mitigation,Climate Change ,1.00%
Indicator,CBP,Projected cumulative emissions to 2050 relative to carbon budget,0.01666667,CCH,Climate Change Mitigation,Climate Change ,0.50%
