STRUCTURE,STRUCTURE_ID,ACTION,FREQ,REF_AREA,INDICATOR,SEX,AGE,URBANISATION,UNIT_MEASURE,COMP_BREAKDOWN_1,COMP_BREAKDOWN_2,COMP_BREAKDOWN_3,UNIT_TYPE,DATABASE_ID,TIME_FORMAT,UNIT_MULT,OBS_CONF,OBS_STATUS,FREQ_LABEL,REF_AREA_LABEL,INDICATOR_LABEL,SEX_LABEL,AGE_LABEL,URBANISATION_LABEL,UNIT_MEASURE_LABEL,COMP_BREAKDOWN_1_LABEL,COMP_BREAKDOWN_2_LABEL,COMP_BREAKDOWN_3_LABEL,UNIT_TYPE_LABEL,DATABASE_ID_LABEL,TIME_FORMAT_LABEL,UNIT_MULT_LABEL,OBS_STATUS_LABEL,OBS_CONF_LABEL,2006,2008,2010,2012,2014,2016,2018,2020,2022,2024,2026
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,TJK,BS_BTI_Q6,_Z,_Z,_Z,0_TO_10,_Z,_Z,_Z,IX,BS_BTI,602,0,PU,A,Annual,Tajikistan,Bertelsmann Transformation Index: Level of Socioeconomic Development,Not applicable,Not applicable,Not applicable,0-10 scale,Not Applicable,Not Applicable,Not Applicable,Index,The Bertelsmann Stiftung’s Transformation Index (BTI),CCYY,Units,Normal value,Public,2.0,2.0,2.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,BGR,BS_BTI_Q6,_Z,_Z,_Z,0_TO_10,_Z,_Z,_Z,IX,BS_BTI,602,0,PU,A,Annual,Bulgaria,Bertelsmann Transformation Index: Level of Socioeconomic Development,Not applicable,Not applicable,Not applicable,0-10 scale,Not Applicable,Not Applicable,Not Applicable,Index,The Bertelsmann Stiftung’s Transformation Index (BTI),CCYY,Units,Normal value,Public,6.0,7.0,7.0,7.0,7.0,7.0,7.0,6.0,6.0,6.0,6.0
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,THA,BS_BTI_Q6,_Z,_Z,_Z,0_TO_10,_Z,_Z,_Z,IX,BS_BTI,602,0,PU,A,Annual,Thailand,Bertelsmann Transformation Index: Level of Socioeconomic Development,Not applicable,Not applicable,Not applicable,0-10 scale,Not Applicable,Not Applicable,Not Applicable,Index,The Bertelsmann Stiftung’s Transformation Index (BTI),CCYY,Units,Normal value,Public,7.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,BTN,BS_BTI_Q6,_Z,_Z,_Z,0_TO_10,_Z,_Z,_Z,IX,BS_BTI,602,0,PU,A,Annual,Bhutan,Bertelsmann Transformation Index: Level of Socioeconomic Development,Not applicable,Not applicable,Not applicable,0-10 scale,Not Applicable,Not Applicable,Not Applicable,Index,The Bertelsmann Stiftung’s Transformation Index (BTI),CCYY,Units,Normal value,Public,,2.0,2.0,3.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,AFG,BS_BTI_Q6,_Z,_Z,_Z,0_TO_10,_Z,_Z,_Z,IX,BS_BTI,602,0,PU,A,Annual,Afghanistan,Bertelsmann Transformation Index: Level of Socioeconomic Development,Not applicable,Not applicable,Not applicable,0-10 scale,Not Applicable,Not Applicable,Not Applicable,Index,The Bertelsmann Stiftung’s Transformation Index (BTI),CCYY,Units,Normal value,Public,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,SWZ,BS_BTI_Q6,_Z,_Z,_Z,0_TO_10,_Z,_Z,_Z,IX,BS_BTI,602,0,PU,A,Annual,Eswatini,Bertelsmann Transformation Index: Level of Socioeconomic Development,Not applicable,Not applicable,Not applicable,0-10 scale,Not Applicable,Not Applicable,Not Applicable,Index,The Bertelsmann Stiftung’s Transformation Index (BTI),CCYY,Units,Normal value,Public,,,,,,,,2.0,2.0,2.0,2.0
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,MOZ,BS_BTI_Q6,_Z,_Z,_Z,0_TO_10,_Z,_Z,_Z,IX,BS_BTI,602,0,PU,A,Annual,Mozambique,Bertelsmann Transformation Index: Level of Socioeconomic Development,Not applicable,Not applicable,Not applicable,0-10 scale,Not Applicable,Not Applicable,Not Applicable,Index,The Bertelsmann Stiftung’s Transformation Index (BTI),CCYY,Units,Normal value,Public,3.0,2.0,3.0,3.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,LVA,BS_BTI_Q6,_Z,_Z,_Z,0_TO_10,_Z,_Z,_Z,IX,BS_BTI,602,0,PU,A,Annual,Latvia,Bertelsmann Transformation Index: Level of Socioeconomic Development,Not applicable,Not applicable,Not applicable,0-10 scale,Not Applicable,Not Applicable,Not Applicable,Index,The Bertelsmann Stiftung’s Transformation Index (BTI),CCYY,Units,Normal value,Public,7.0,8.0,8.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,8.0
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,PER,BS_BTI_Q6,_Z,_Z,_Z,0_TO_10,_Z,_Z,_Z,IX,BS_BTI,602,0,PU,A,Annual,Peru,Bertelsmann Transformation Index: Level of Socioeconomic Development,Not applicable,Not applicable,Not applicable,0-10 scale,Not Applicable,Not Applicable,Not Applicable,Index,The Bertelsmann Stiftung’s Transformation Index (BTI),CCYY,Units,Normal value,Public,4.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0,4.0,4.0,4.0
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,COG,BS_BTI_Q6,_Z,_Z,_Z,0_TO_10,_Z,_Z,_Z,IX,BS_BTI,602,0,PU,A,Annual,"Congo, Rep.",Bertelsmann Transformation Index: Level of Socioeconomic Development,Not applicable,Not applicable,Not applicable,0-10 scale,Not Applicable,Not Applicable,Not Applicable,Index,The Bertelsmann Stiftung’s Transformation Index (BTI),CCYY,Units,Normal value,Public,,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,BGD,BS_BTI_Q6,_Z,_Z,_Z,0_TO_10,_Z,_Z,_Z,IX,BS_BTI,602,0,PU,A,Annual,Bangladesh,Bertelsmann Transformation Index: Level of Socioeconomic Development,Not applicable,Not applicable,Not applicable,0-10 scale,Not Applicable,Not Applicable,Not Applicable,Index,The Bertelsmann Stiftung’s Transformation Index (BTI),CCYY,Units,Normal value,Public,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,4.0
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,LBN,BS_BTI_Q6,_Z,_Z,_Z,0_TO_10,_Z,_Z,_Z,IX,BS_BTI,602,0,PU,A,Annual,Lebanon,Bertelsmann Transformation Index: Level of Socioeconomic Development,Not applicable,Not applicable,Not applicable,0-10 scale,Not Applicable,Not Applicable,Not Applicable,Index,The Bertelsmann Stiftung’s Transformation Index (BTI),CCYY,Units,Normal value,Public,5.0,6.0,5.0,5.0,5.0,4.0,4.0,4.0,3.0,3.0,3.0
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,XKX,BS_BTI_Q6,_Z,_Z,_Z,0_TO_10,_Z,_Z,_Z,IX,BS_BTI,602,0,PU,A,Annual,Kosovo,Bertelsmann Transformation Index: Level of Socioeconomic Development,Not applicable,Not applicable,Not applicable,0-10 scale,Not Applicable,Not Applicable,Not Applicable,Index,The Bertelsmann Stiftung’s Transformation Index (BTI),CCYY,Units,Normal value,Public,,,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,CZE,BS_BTI_Q6,_Z,_Z,_Z,0_TO_10,_Z,_Z,_Z,IX,BS_BTI,602,0,PU,A,Annual,Czechia,Bertelsmann Transformation Index: Level of Socioeconomic Development,Not applicable,Not applicable,Not applicable,0-10 scale,Not Applicable,Not Applicable,Not Applicable,Index,The Bertelsmann Stiftung’s Transformation Index (BTI),CCYY,Units,Normal value,Public,9.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,9.0,9.0,9.0
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,AGO,BS_BTI_Q6,_Z,_Z,_Z,0_TO_10,_Z,_Z,_Z,IX,BS_BTI,602,0,PU,A,Annual,Angola,Bertelsmann Transformation Index: Level of Socioeconomic Development,Not applicable,Not applicable,Not applicable,0-10 scale,Not Applicable,Not Applicable,Not Applicable,Index,The Bertelsmann Stiftung’s Transformation Index (BTI),CCYY,Units,Normal value,Public,1.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,SGP,BS_BTI_Q6,_Z,_Z,_Z,0_TO_10,_Z,_Z,_Z,IX,BS_BTI,602,0,PU,A,Annual,Singapore,Bertelsmann Transformation Index: Level of Socioeconomic Development,Not applicable,Not applicable,Not applicable,0-10 scale,Not Applicable,Not Applicable,Not Applicable,Index,The Bertelsmann Stiftung’s Transformation Index (BTI),CCYY,Units,Normal value,Public,9.0,10.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,8.0
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,IND,BS_BTI_Q6,_Z,_Z,_Z,0_TO_10,_Z,_Z,_Z,IX,BS_BTI,602,0,PU,A,Annual,India,Bertelsmann Transformation Index: Level of Socioeconomic Development,Not applicable,Not applicable,Not applicable,0-10 scale,Not Applicable,Not Applicable,Not Applicable,Index,The Bertelsmann Stiftung’s Transformation Index (BTI),CCYY,Units,Normal value,Public,5.0,5.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,ROU,BS_BTI_Q6,_Z,_Z,_Z,0_TO_10,_Z,_Z,_Z,IX,BS_BTI,602,0,PU,A,Annual,Romania,Bertelsmann Transformation Index: Level of Socioeconomic Development,Not applicable,Not applicable,Not applicable,0-10 scale,Not Applicable,Not Applicable,Not Applicable,Index,The Bertelsmann Stiftung’s Transformation Index (BTI),CCYY,Units,Normal value,Public,6.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,ZMB,BS_BTI_Q6,_Z,_Z,_Z,0_TO_10,_Z,_Z,_Z,IX,BS_BTI,602,0,PU,A,Annual,Zambia,Bertelsmann Transformation Index: Level of Socioeconomic Development,Not applicable,Not applicable,Not applicable,0-10 scale,Not Applicable,Not Applicable,Not Applicable,Index,The Bertelsmann Stiftung’s Transformation Index (BTI),CCYY,Units,Normal value,Public,3.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,MMR,BS_BTI_Q6,_Z,_Z,_Z,0_TO_10,_Z,_Z,_Z,IX,BS_BTI,602,0,PU,A,Annual,Myanmar,Bertelsmann Transformation Index: Level of Socioeconomic Development,Not applicable,Not applicable,Not applicable,0-10 scale,Not Applicable,Not Applicable,Not Applicable,Index,The Bertelsmann Stiftung’s Transformation Index (BTI),CCYY,Units,Normal value,Public,1.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,CIV,BS_BTI_Q6,_Z,_Z,_Z,0_TO_10,_Z,_Z,_Z,IX,BS_BTI,602,0,PU,A,Annual,Cote d'Ivoire,Bertelsmann Transformation Index: Level of Socioeconomic Development,Not applicable,Not applicable,Not applicable,0-10 scale,Not Applicable,Not Applicable,Not Applicable,Index,The Bertelsmann Stiftung’s Transformation Index (BTI),CCYY,Units,Normal value,Public,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,MKD,BS_BTI_Q6,_Z,_Z,_Z,0_TO_10,_Z,_Z,_Z,IX,BS_BTI,602,0,PU,A,Annual,North Macedonia,Bertelsmann Transformation Index: Level of Socioeconomic Development,Not applicable,Not applicable,Not applicable,0-10 scale,Not Applicable,Not Applicable,Not Applicable,Index,The Bertelsmann Stiftung’s Transformation Index (BTI),CCYY,Units,Normal value,Public,6.0,7.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,COL,BS_BTI_Q6,_Z,_Z,_Z,0_TO_10,_Z,_Z,_Z,IX,BS_BTI,602,0,PU,A,Annual,Colombia,Bertelsmann Transformation Index: Level of Socioeconomic Development,Not applicable,Not applicable,Not applicable,0-10 scale,Not Applicable,Not Applicable,Not Applicable,Index,The Bertelsmann Stiftung’s Transformation Index (BTI),CCYY,Units,Normal value,Public,6.0,6.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,SLV,BS_BTI_Q6,_Z,_Z,_Z,0_TO_10,_Z,_Z,_Z,IX,BS_BTI,602,0,PU,A,Annual,El Salvador,Bertelsmann Transformation Index: Level of Socioeconomic Development,Not applicable,Not applicable,Not applicable,0-10 scale,Not Applicable,Not Applicable,Not Applicable,Index,The Bertelsmann Stiftung’s Transformation Index (BTI),CCYY,Units,Normal value,Public,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,SVN,BS_BTI_Q6,_Z,_Z,_Z,0_TO_10,_Z,_Z,_Z,IX,BS_BTI,602,0,PU,A,Annual,Slovenia,Bertelsmann Transformation Index: Level of Socioeconomic Development,Not applicable,Not applicable,Not applicable,0-10 scale,Not Applicable,Not Applicable,Not Applicable,Index,The Bertelsmann Stiftung’s Transformation Index (BTI),CCYY,Units,Normal value,Public,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,ARM,BS_BTI_Q6,_Z,_Z,_Z,0_TO_10,_Z,_Z,_Z,IX,BS_BTI,602,0,PU,A,Annual,Armenia,Bertelsmann Transformation Index: Level of Socioeconomic Development,Not applicable,Not applicable,Not applicable,0-10 scale,Not Applicable,Not Applicable,Not Applicable,Index,The Bertelsmann Stiftung’s Transformation Index (BTI),CCYY,Units,Normal value,Public,4.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,5.0,5.0,6.0
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,KHM,BS_BTI_Q6,_Z,_Z,_Z,0_TO_10,_Z,_Z,_Z,IX,BS_BTI,602,0,PU,A,Annual,Cambodia,Bertelsmann Transformation Index: Level of Socioeconomic Development,Not applicable,Not applicable,Not applicable,0-10 scale,Not Applicable,Not Applicable,Not Applicable,Index,The Bertelsmann Stiftung’s Transformation Index (BTI),CCYY,Units,Normal value,Public,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,CRI,BS_BTI_Q6,_Z,_Z,_Z,0_TO_10,_Z,_Z,_Z,IX,BS_BTI,602,0,PU,A,Annual,Costa Rica,Bertelsmann Transformation Index: Level of Socioeconomic Development,Not applicable,Not applicable,Not applicable,0-10 scale,Not Applicable,Not Applicable,Not Applicable,Index,The Bertelsmann Stiftung’s Transformation Index (BTI),CCYY,Units,Normal value,Public,8.0,8.0,8.0,7.0,7.0,6.0,6.0,6.0,6.0,6.0,7.0
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,SRB,BS_BTI_Q6,_Z,_Z,_Z,0_TO_10,_Z,_Z,_Z,IX,BS_BTI,602,0,PU,A,Annual,Serbia,Bertelsmann Transformation Index: Level of Socioeconomic Development,Not applicable,Not applicable,Not applicable,0-10 scale,Not Applicable,Not Applicable,Not Applicable,Index,The Bertelsmann Stiftung’s Transformation Index (BTI),CCYY,Units,Normal value,Public,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,MLI,BS_BTI_Q6,_Z,_Z,_Z,0_TO_10,_Z,_Z,_Z,IX,BS_BTI,602,0,PU,A,Annual,Mali,Bertelsmann Transformation Index: Level of Socioeconomic Development,Not applicable,Not applicable,Not applicable,0-10 scale,Not Applicable,Not Applicable,Not Applicable,Index,The Bertelsmann Stiftung’s Transformation Index (BTI),CCYY,Units,Normal value,Public,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,TUR,BS_BTI_Q6,_Z,_Z,_Z,0_TO_10,_Z,_Z,_Z,IX,BS_BTI,602,0,PU,A,Annual,Turkiye,Bertelsmann Transformation Index: Level of Socioeconomic Development,Not applicable,Not applicable,Not applicable,0-10 scale,Not Applicable,Not Applicable,Not Applicable,Index,The Bertelsmann Stiftung’s Transformation Index (BTI),CCYY,Units,Normal value,Public,5.0,6.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,GAB,BS_BTI_Q6,_Z,_Z,_Z,0_TO_10,_Z,_Z,_Z,IX,BS_BTI,602,0,PU,A,Annual,Gabon,Bertelsmann Transformation Index: Level of Socioeconomic Development,Not applicable,Not applicable,Not applicable,0-10 scale,Not Applicable,Not Applicable,Not Applicable,Index,The Bertelsmann Stiftung’s Transformation Index (BTI),CCYY,Units,Normal value,Public,,,,,,,,4.0,4.0,4.0,4.0
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,CAF,BS_BTI_Q6,_Z,_Z,_Z,0_TO_10,_Z,_Z,_Z,IX,BS_BTI,602,0,PU,A,Annual,Central African Republic,Bertelsmann Transformation Index: Level of Socioeconomic Development,Not applicable,Not applicable,Not applicable,0-10 scale,Not Applicable,Not Applicable,Not Applicable,Index,The Bertelsmann Stiftung’s Transformation Index (BTI),CCYY,Units,Normal value,Public,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,CHN,BS_BTI_Q6,_Z,_Z,_Z,0_TO_10,_Z,_Z,_Z,IX,BS_BTI,602,0,PU,A,Annual,China,Bertelsmann Transformation Index: Level of Socioeconomic Development,Not applicable,Not applicable,Not applicable,0-10 scale,Not Applicable,Not Applicable,Not Applicable,Index,The Bertelsmann Stiftung’s Transformation Index (BTI),CCYY,Units,Normal value,Public,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,BLR,BS_BTI_Q6,_Z,_Z,_Z,0_TO_10,_Z,_Z,_Z,IX,BS_BTI,602,0,PU,A,Annual,Belarus,Bertelsmann Transformation Index: Level of Socioeconomic Development,Not applicable,Not applicable,Not applicable,0-10 scale,Not Applicable,Not Applicable,Not Applicable,Index,The Bertelsmann Stiftung’s Transformation Index (BTI),CCYY,Units,Normal value,Public,7.0,7.0,7.0,6.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,IRN,BS_BTI_Q6,_Z,_Z,_Z,0_TO_10,_Z,_Z,_Z,IX,BS_BTI,602,0,PU,A,Annual,"Iran, Islamic Rep.",Bertelsmann Transformation Index: Level of Socioeconomic Development,Not applicable,Not applicable,Not applicable,0-10 scale,Not Applicable,Not Applicable,Not Applicable,Index,The Bertelsmann Stiftung’s Transformation Index (BTI),CCYY,Units,Normal value,Public,4.0,4.0,4.0,5.0,4.0,3.0,3.0,3.0,3.0,2.0,2.0
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,URY,BS_BTI_Q6,_Z,_Z,_Z,0_TO_10,_Z,_Z,_Z,IX,BS_BTI,602,0,PU,A,Annual,Uruguay,Bertelsmann Transformation Index: Level of Socioeconomic Development,Not applicable,Not applicable,Not applicable,0-10 scale,Not Applicable,Not Applicable,Not Applicable,Index,The Bertelsmann Stiftung’s Transformation Index (BTI),CCYY,Units,Normal value,Public,8.0,8.0,9.0,8.0,8.0,8.0,7.0,7.0,7.0,7.0,7.0
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,HUN,BS_BTI_Q6,_Z,_Z,_Z,0_TO_10,_Z,_Z,_Z,IX,BS_BTI,602,0,PU,A,Annual,Hungary,Bertelsmann Transformation Index: Level of Socioeconomic Development,Not applicable,Not applicable,Not applicable,0-10 scale,Not Applicable,Not Applicable,Not Applicable,Index,The Bertelsmann Stiftung’s Transformation Index (BTI),CCYY,Units,Normal value,Public,9.0,10.0,9.0,9.0,8.0,8.0,8.0,7.0,7.0,7.0,7.0
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,PHL,BS_BTI_Q6,_Z,_Z,_Z,0_TO_10,_Z,_Z,_Z,IX,BS_BTI,602,0,PU,A,Annual,Philippines,Bertelsmann Transformation Index: Level of Socioeconomic Development,Not applicable,Not applicable,Not applicable,0-10 scale,Not Applicable,Not Applicable,Not Applicable,Index,The Bertelsmann Stiftung’s Transformation Index (BTI),CCYY,Units,Normal value,Public,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,4.0,5.0
