STRUCTURE,STRUCTURE_ID,ACTION,FREQ,REF_AREA,INDICATOR,SEX,AGE,URBANISATION,UNIT_MEASURE,COMP_BREAKDOWN_1,COMP_BREAKDOWN_2,COMP_BREAKDOWN_3,AGG_METHOD,UNIT_TYPE,DECIMALS,DATABASE_ID,TIME_FORMAT,COMMENT_TS,UNIT_MULT,DATA_SOURCE,OBS_CONF,OBS_STATUS,FREQ_LABEL,REF_AREA_LABEL,INDICATOR_LABEL,SEX_LABEL,AGE_LABEL,URBANISATION_LABEL,UNIT_MEASURE_LABEL,COMP_BREAKDOWN_1_LABEL,COMP_BREAKDOWN_2_LABEL,COMP_BREAKDOWN_3_LABEL,AGG_METHOD_LABEL,UNIT_TYPE_LABEL,DECIMALS_LABEL,DATABASE_ID_LABEL,TIME_FORMAT_LABEL,UNIT_MULT_LABEL,OBS_STATUS_LABEL,OBS_CONF_LABEL,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,EAS,WB_WDI_IQ_CPA_ENVR_XQ,_T,_T,_T,1_TO_6,_Z,_Z,_Z,_Z,IX,2,WB_WDI,P1Y,CPIA policy and institutions for environmental sustainability rating (1=low to 6=high),0,WB_WDI,PU,A,Annual,East Asia & Pacific,CPIA policy and institutions for environmental sustainability rating (1=low to 6=high),Total,All age ranges or no breakdown by age,Total,1-6 scale,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Index,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public,2.8181818181818183,2.8333333333333335,2.9545454545454546,3.0,3.0,3.0,2.9615384615384617,3.0357142857142856,2.966666666666667,3.0,3.0,2.892857142857143,2.892857142857143,2.892857142857143,2.892857142857143,2.9642857142857144,2.9285714285714284,3.0,3.0,3.0
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,NPL,WB_WDI_IQ_CPA_ENVR_XQ,_T,_T,_T,1_TO_6,_Z,_Z,_Z,_Z,IX,2,WB_WDI,P1Y,CPIA policy and institutions for environmental sustainability rating (1=low to 6=high),0,WB_WDI,PU,A,Annual,Nepal,CPIA policy and institutions for environmental sustainability rating (1=low to 6=high),Total,All age ranges or no breakdown by age,Total,1-6 scale,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Index,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public,3.0,3.0,3.0,3.0,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,TSA,WB_WDI_IQ_CPA_ENVR_XQ,_T,_T,_T,1_TO_6,_Z,_Z,_Z,_Z,IX,2,WB_WDI,P1Y,CPIA policy and institutions for environmental sustainability rating (1=low to 6=high),0,WB_WDI,PU,A,Annual,South Asia (IDA & IBRD),CPIA policy and institutions for environmental sustainability rating (1=low to 6=high),Total,All age ranges or no breakdown by age,Total,1-6 scale,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Index,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public,3.5833333333333335,3.5833333333333335,3.5833333333333335,3.5833333333333335,3.6666666666666665,3.5833333333333335,3.3333333333333335,3.4166666666666665,3.5,3.4,3.3,3.5,3.375,3.375,3.6,3.625,3.5,3.5,3.5,3.4
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,LCA,WB_WDI_IQ_CPA_ENVR_XQ,_T,_T,_T,1_TO_6,_Z,_Z,_Z,_Z,IX,2,WB_WDI,P1Y,CPIA policy and institutions for environmental sustainability rating (1=low to 6=high),0,WB_WDI,PU,A,Annual,St. Lucia,CPIA policy and institutions for environmental sustainability rating (1=low to 6=high),Total,All age ranges or no breakdown by age,Total,1-6 scale,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Index,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,ARM,WB_WDI_IQ_CPA_ENVR_XQ,_T,_T,_T,1_TO_6,_Z,_Z,_Z,_Z,IX,2,WB_WDI,P1Y,CPIA policy and institutions for environmental sustainability rating (1=low to 6=high),0,WB_WDI,PU,A,Annual,Armenia,CPIA policy and institutions for environmental sustainability rating (1=low to 6=high),Total,All age ranges or no breakdown by age,Total,1-6 scale,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Index,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public,3.5,3.5,3.5,3.0,3.0,3.0,3.0,3.0,3.0,,,,,,,,,,,
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,NER,WB_WDI_IQ_CPA_ENVR_XQ,_T,_T,_T,1_TO_6,_Z,_Z,_Z,_Z,IX,2,WB_WDI,P1Y,CPIA policy and institutions for environmental sustainability rating (1=low to 6=high),0,WB_WDI,PU,A,Annual,Niger,CPIA policy and institutions for environmental sustainability rating (1=low to 6=high),Total,All age ranges or no breakdown by age,Total,1-6 scale,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Index,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public,3.0,3.0,3.0,3.0,3.0,3.5,4.0,4.0,3.5,3.5,3.5,3.5,3.0,3.0,3.5,3.5,3.0,3.0,3.5,3.5
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,SDN,WB_WDI_IQ_CPA_ENVR_XQ,_T,_T,_T,1_TO_6,_Z,_Z,_Z,_Z,IX,2,WB_WDI,P1Y,CPIA policy and institutions for environmental sustainability rating (1=low to 6=high),0,WB_WDI,PU,A,Annual,Sudan,CPIA policy and institutions for environmental sustainability rating (1=low to 6=high),Total,All age ranges or no breakdown by age,Total,1-6 scale,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Index,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public,2.5,2.5,2.5,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,RWA,WB_WDI_IQ_CPA_ENVR_XQ,_T,_T,_T,1_TO_6,_Z,_Z,_Z,_Z,IX,2,WB_WDI,P1Y,CPIA policy and institutions for environmental sustainability rating (1=low to 6=high),0,WB_WDI,PU,A,Annual,Rwanda,CPIA policy and institutions for environmental sustainability rating (1=low to 6=high),Total,All age ranges or no breakdown by age,Total,1-6 scale,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Index,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public,3.0,3.0,3.0,3.5,3.5,3.5,3.5,3.5,3.5,4.0,4.0,4.0,4.0,4.0,4.5,4.5,4.5,4.5,4.5,4.5
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,ZMB,WB_WDI_IQ_CPA_ENVR_XQ,_T,_T,_T,1_TO_6,_Z,_Z,_Z,_Z,IX,2,WB_WDI,P1Y,CPIA policy and institutions for environmental sustainability rating (1=low to 6=high),0,WB_WDI,PU,A,Annual,Zambia,CPIA policy and institutions for environmental sustainability rating (1=low to 6=high),Total,All age ranges or no breakdown by age,Total,1-6 scale,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Index,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,LTE,WB_WDI_IQ_CPA_ENVR_XQ,_T,_T,_T,1_TO_6,_Z,_Z,_Z,_Z,IX,2,WB_WDI,P1Y,CPIA policy and institutions for environmental sustainability rating (1=low to 6=high),0,WB_WDI,PU,A,Annual,Late-demographic dividend,CPIA policy and institutions for environmental sustainability rating (1=low to 6=high),Total,All age ranges or no breakdown by age,Total,1-6 scale,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Index,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public,3.269230769230769,3.1538461538461537,3.272727272727273,3.227272727272727,3.227272727272727,3.227272727272727,3.1,3.15,3.15,3.25,3.25,3.25,3.25,3.4166666666666665,3.4285714285714284,3.5,3.4,3.4166666666666665,3.4166666666666665,3.3333333333333335
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,IDX,WB_WDI_IQ_CPA_ENVR_XQ,_T,_T,_T,1_TO_6,_Z,_Z,_Z,_Z,IX,2,WB_WDI,P1Y,CPIA policy and institutions for environmental sustainability rating (1=low to 6=high),0,WB_WDI,PU,A,Annual,IDA only,CPIA policy and institutions for environmental sustainability rating (1=low to 6=high),Total,All age ranges or no breakdown by age,Total,1-6 scale,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Index,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public,3.0714285714285716,3.04,3.05,3.07,3.0673076923076925,3.105769230769231,3.1018518518518516,3.107142857142857,3.0701754385964914,3.1140350877192984,3.1315789473684212,3.0982142857142856,3.06140350877193,3.0892857142857144,3.1293103448275863,3.1491228070175437,3.1160714285714284,3.1293103448275863,3.1293103448275863,3.1379310344827585
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,TLA,WB_WDI_IQ_CPA_ENVR_XQ,_T,_T,_T,1_TO_6,_Z,_Z,_Z,_Z,IX,2,WB_WDI,P1Y,CPIA policy and institutions for environmental sustainability rating (1=low to 6=high),0,WB_WDI,PU,A,Annual,Latin America & Caribbean (IDA & IBRD),CPIA policy and institutions for environmental sustainability rating (1=low to 6=high),Total,All age ranges or no breakdown by age,Total,1-6 scale,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Index,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public,3.2777777777777777,3.3333333333333335,3.3333333333333335,3.388888888888889,3.388888888888889,3.388888888888889,3.3333333333333335,3.3333333333333335,3.3333333333333335,3.3333333333333335,3.3333333333333335,3.3125,3.25,3.3125,3.3125,3.375,3.25,3.25,3.1875,3.3
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,LBR,WB_WDI_IQ_CPA_ENVR_XQ,_T,_T,_T,1_TO_6,_Z,_Z,_Z,_Z,IX,2,WB_WDI,P1Y,CPIA policy and institutions for environmental sustainability rating (1=low to 6=high),0,WB_WDI,PU,A,Annual,Liberia,CPIA policy and institutions for environmental sustainability rating (1=low to 6=high),Total,All age ranges or no breakdown by age,Total,1-6 scale,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Index,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public,,,,,2.0,2.5,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,BTN,WB_WDI_IQ_CPA_ENVR_XQ,_T,_T,_T,1_TO_6,_Z,_Z,_Z,_Z,IX,2,WB_WDI,P1Y,CPIA policy and institutions for environmental sustainability rating (1=low to 6=high),0,WB_WDI,PU,A,Annual,Bhutan,CPIA policy and institutions for environmental sustainability rating (1=low to 6=high),Total,All age ranges or no breakdown by age,Total,1-6 scale,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Index,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public,4.5,4.5,4.5,4.5,4.5,4.5,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,SRB,WB_WDI_IQ_CPA_ENVR_XQ,_T,_T,_T,1_TO_6,_Z,_Z,_Z,_Z,IX,2,WB_WDI,P1Y,CPIA policy and institutions for environmental sustainability rating (1=low to 6=high),0,WB_WDI,PU,A,Annual,Serbia,CPIA policy and institutions for environmental sustainability rating (1=low to 6=high),Total,All age ranges or no breakdown by age,Total,1-6 scale,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Index,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public,3.5,2.0,,,,,,,,,,,,,,,,,,
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,COD,WB_WDI_IQ_CPA_ENVR_XQ,_T,_T,_T,1_TO_6,_Z,_Z,_Z,_Z,IX,2,WB_WDI,P1Y,CPIA policy and institutions for environmental sustainability rating (1=low to 6=high),0,WB_WDI,PU,A,Annual,"Congo, Dem. Rep.",CPIA policy and institutions for environmental sustainability rating (1=low to 6=high),Total,All age ranges or no breakdown by age,Total,1-6 scale,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Index,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,3.0,3.0,3.0,3.0,3.0,3.5,3.5,3.5,3.0,3.0
